"timestamp","childID","taskId","grandChildID","taskName","rawDataText","typeOfChangeNew","typeOfChangeDescriptionNew","typeOfChangeOrignal","typeOfChangeDescriptionOriginal","createdByName","createdById","currentAssigneeId","mergedCurrentAssignee","currentAssignee","mergedCurrentAssigneeId","grandChildName","circles","circleIds","aliveStatus","messageType","date","time","taskCompletedAt","taskModifiedAt","parentCircle","accordingToCircle","secondDegreeCircleRelationshipId","secondDegreeCircleRelationshipName","roleType","eventId","projectId","workspaceId","workspaceName","projectName",,
"2018-07-11 10:20:53.954",318387255486591,318387254159708,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] unassigned from Juul",3,"UNASSIGN_FROM_ACTOR",3,"UNASSIGN_FROM_ACTOR","Juul",189848323913499,,,,,,"☺ Smooth Operations Roles",11555199602299,"alive","system",2018-07-11,"10:20:53.954",2017-06-26T13:08:58,2018-07-11T08:21:23,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",318387255486591,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2016-12-01 13:51:07.586",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] duplicated task from another task",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Berber Noordzij",571772735996762,,"2988840355704,47341060806540,571772735996762","Berber Noordzij","Debbie,Geeta Kewaldar,Berber Noordzij",,"NO CIRCLE",,"alive","system",2016-12-01,"13:51:07.586",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2016-12-21 09:55:39.667",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] unassigned the task",3,"UNASSIGN_FROM_ACTOR",3,"UNASSIGN_FROM_ACTOR","Berber Noordzij",571772735996762,,"2988840355704,47341060806540,571772735996762,1157441348270588",,"Debbie,Geeta Kewaldar,Berber Noordzij,Robin",,"NO CIRCLE",,"alive","system",2016-12-21,"09:55:39.667",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2016-12-21 09:55:44.879",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] assigned the task",2,"ASSIGN_TO_ACTOR",2,"ASSIGN_TO_ACTOR","Berber Noordzij",571772735996762,571772735996762,"2988840355704,47341060806540,571772735996762,1157441348270588","Robin","Debbie,Geeta Kewaldar,Berber Noordzij,Robin",,"NO CIRCLE",,"alive","system",2016-12-21,"09:55:44.879",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-02-07 10:54:31.898",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] liked this task",6,"COMMENT",6,"COMMENT","Martin Balk",729015901317341,571772735996762,"2988840355704,47341060806540,571772735996762,1157441348270588","Robin","Debbie,Geeta Kewaldar,Berber Noordzij,Robin",,"NO CIRCLE",,"alive","system",2017-02-07,"10:54:31.898",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-02-07 16:05:56.42",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] removed the due date",0,"IGNORE_OR_DELETE",0,"IGNORE_OR_DELETE","Anne Nynke Jansma",1138104132847331,571772735996762,"2988840355704,47341060806540,571772735996762,1157441348270588","Robin","Debbie,Geeta Kewaldar,Berber Noordzij,Robin",,"NO CIRCLE",,"alive","system",2017-02-07,"16:05:56.420",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-02-07 16:05:58.362",222668744318474,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] unassigned the task",3,"UNASSIGN_FROM_ACTOR",3,"UNASSIGN_FROM_ACTOR","Anne Nynke Jansma",1138104132847331,,"2988840355704,47341060806540,571772735996762,1157441348270588",,"Debbie,Geeta Kewaldar,Berber Noordzij,Robin",,"NO CIRCLE",,"alive","system",2017-02-07,"16:05:58.362",2017-07-18T15:41:33,2017-02-07T15:05:58,"null",,,,"role",222668744318474,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2016-10-25 11:54:29.038",201798023170258,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] duplicated task from another task",1,"CHANGE_ACCOUNTABILITY_PURPOSE",1,"CHANGE_ACCOUNTABILITY_PURPOSE","Berber Noordzij",571772735996762,,"2988840355704,47341060806540,571772735996762","Berber Noordzij","Debbie,Geeta Kewaldar,Berber Noordzij","replacing the aquarium filter (every 3 months)",,"NO CIRCLE",,"alive","system",2016-10-25,"11:54:29.038",2017-07-18T15:41:33,2017-02-07T15:06:43,,"null",,,,"role",201798023170258,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles"
"2017-02-07 16:06:37.39",201798023170258,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] removed the due date",1,"CHANGE_ACCOUNTABILITY_PURPOSE",1,"CHANGE_ACCOUNTABILITY_PURPOSE","Berber Noordzij",1138104132847331,,"2988840355704,47341060806540,571772735996762,1157441348270588","Berber Noordzij","Debbie,Geeta Kewaldar,Berber Noordzij,Robin","replacing the aquarium filter (every 3 months)",,"NO CIRCLE",,"alive","system",2017-02-07,"16:06:37.390",2017-07-18T15:41:33,2017-02-07T15:06:43,,"null",,,,"role",201798023170258,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles"
"2017-02-07 16:06:40.668",201798023170258,14815184973186,,"Fish Role (Californian)","[EVENT FROM SUB-TASK] unassigned the task",1,"CHANGE_ACCOUNTABILITY_PURPOSE",1,"CHANGE_ACCOUNTABILITY_PURPOSE","Berber Noordzij",1138104132847331,,"2988840355704,47341060806540,571772735996762,1157441348270588","Berber Noordzij","Debbie,Geeta Kewaldar,Berber Noordzij,Robin","replacing the aquarium filter (every 3 months)",,"NO CIRCLE",,"alive","system",2017-02-07,"16:06:40.668",2017-07-18T15:41:33,2017-02-07T15:06:43,,"null",,,,"role",201798023170258,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles"
